risk_rank,district,sub_district,weather_location,geographical_area_ha,flood_affected_area_ha,flood_affected_percent,avg_annual_rainfall_mm,avg_temperature_c,avg_humidity_percent,avg_wind_speed_mps,avg_pressure_kpa,max_daily_rainfall_mm,risk_category,risk_score
16,SAWAI MADHOPUR,KHANDHAR,Sawai Madhopur,98945.44,11019.92,11.14,657.1018918918919,26.266208376498444,43.32932440432145,2.0382373834541956,97.72097010507622,120.36,Very High,4
17,PALI,MARWAR JUN,Pali,136256.45,14474.94,10.62,374.85945945945946,26.819590054758027,38.60241453307681,2.51475284889744,98.35846307532928,112.76,Very High,4
18,JAIPUR,PHAGI,Jaipur,107744.28,10889.7,10.11,518.7956756756756,25.6037642444872,39.69454417640964,2.1966346011543583,96.20469587094864,91.75,Very High,4
19,JALOR,JALOR,Jalore,124721.27,11954.46,9.58,380.05270270270273,27.194646292733463,38.75282299837206,2.611423708746485,98.911838833802,100.99,Very High,4
20,ALWAR,KOTKASIM,Alwar,33326.18,3167.26,9.5,580.7448648648649,26.243588130827288,40.61203344679592,2.0058235903507473,97.86954269646293,74.7,Very High,4
21,TONK,DEVLI,Tonk,62509.77,5776.2,9.24,590.7735135135135,26.15527009027675,41.89283261802575,2.1241823294361404,97.29646070741452,108.85,Very High,4
22,PALI,PALI,Pali,136638.31,12403.41,9.08,374.85945945945946,26.819590054758027,38.60241453307681,2.51475284889744,98.35846307532928,112.76,Very High,4
23,BHILWARA,KOTARI,Bhilwara,89815.42,8034.91,8.95,545.8694594594594,25.29591312712742,41.955148734645554,2.3331907651324553,95.44139188989196,102.64,Very High,4
24,DUNGARPUR,SABLA,Dungarpur,34648.56,3092.24,8.92,689.9789189189189,26.019670711854374,45.51344457599526,2.4742333875980465,96.79770164274085,141.17,Very High,4
25,SAWAI MADHOPUR,MALARNADUNGAR,Sawai Madhopur,36249.28,3228.3,8.91,657.1018918918919,26.266208376498444,43.32932440432145,2.0382373834541956,97.72097010507622,120.36,Very High,4
26,TONK,TODA RAISINGH,Tonk,96325.22,8553.62,8.88,590.7735135135135,26.15527009027675,41.89283261802575,2.1241823294361404,97.29646070741452,108.85,Very High,4
27,JAIPUR,CHOMU,Jaipur,65808.48,5838.37,8.87,518.7956756756756,25.6037642444872,39.69454417640964,2.1966346011543583,96.20469587094864,91.75,Very High,4
28,ALWAR,MANDAWAR,Alwar,55139.7,4803.47,8.71,580.7448648648649,26.243588130827288,40.61203344679592,2.0058235903507473,97.86954269646293,74.7,Very High,4
29,PALI,RANI,Pali,75616.44,6509.59,8.61,374.85945945945946,26.819590054758027,38.60241453307681,2.51475284889744,98.35846307532928,112.76,Very High,4
30,BHILWARA,JAHAJPUR,Bhilwara,103968.05,8945.89,8.6,545.8694594594594,25.29591312712742,41.955148734645554,2.3331907651324553,95.44139188989196,102.64,Very High,4
31,BARMER,SAMDARI,Barmer,80548.48,6885.85,8.55,253.8108108108108,27.375766612401954,35.42336021903211,3.013074589314785,98.39305682995412,111.72,Very High,4
32,PALI,SOJAT,Pali,162888.24,13647.65,8.38,374.85945945945946,26.819590054758027,38.60241453307681,2.51475284889744,98.35846307532928,112.76,Very High,4
33,JAIPUR,VIRAT NAGAR,Jaipur,46646.27,3905.46,8.37,518.7956756756756,25.6037642444872,39.69454417640964,2.1966346011543583,96.20469587094864,91.75,Very High,4
34,JALOR,JASWANTPURA,Jalore,103471.07,8229.98,7.95,380.05270270270273,27.194646292733463,38.75282299837206,2.611423708746485,98.911838833802,100.99,Very High,4
35,HANUMANGARH,PILIBANGA,Hanumangarh,96833.64,7557.7,7.8,353.51594594594593,26.801407429332542,34.6512187361255,1.9126098860441023,98.59077401213555,111.74,Very High,4
36,JHALAWAR,ASNAWAR,Jhalawar,95922.25,7389.92,7.7,813.5959459459459,26.076238715406244,46.965430664496076,2.3277208820482462,96.86072517389374,124.61,Very High,4
37,BHILWARA,MANDALGARH,Bhilwara,89498.71,6832.84,7.63,545.8694594594594,25.29591312712742,41.955148734645554,2.3331907651324553,95.44139188989196,102.64,Very High,4
38,JHALAWAR,PACHPHAR,Jhalawar,68376.37,5178.31,7.57,813.5959459459459,26.076238715406244,46.965430664496076,2.3277208820482462,96.86072517389374,124.61,Very High,4
39,BARMER,GUDHAMALANI,Barmer,124423.03,9305.57,7.48,253.8108108108108,27.375766612401954,35.42336021903211,3.013074589314785,98.39305682995412,111.72,Very High,4
40,NAGAUR,NAWA,Nagaur,105440.44,7668.55,7.27,360.54675675675674,26.284999260026638,36.80900547580287,2.466680479502738,97.18718514133492,59.75,Very High,4
41,JAIPUR,KOTPUTLI,Jaipur,78278.61,5220.52,6.67,518.7956756756756,25.6037642444872,39.69454417640964,2.1966346011543583,96.20469587094864,91.75,Very High,4
42,JODHPUR,BILARA,Jodhpur,103688.13,6845.81,6.6,374.85945945945946,26.819590054758027,38.60241453307681,2.51475284889744,98.35846307532928,112.76,High,3
43,JALOR,BHINMAL,Jalore,56369.38,3681.32,6.53,380.05270270270273,27.194646292733463,38.75282299837206,2.611423708746485,98.911838833802,100.99,High,3
44,RAJ SAMAND,RELMAGRA,Rajsamand,54565.34,3531.73,6.47,555.5416216216216,24.48280301909131,43.585483202604706,2.3778148586650882,94.02157688323221,118.04,High,3
45,JAIPUR,SHAHPURA,Jaipur,50853.3,3160.17,6.21,518.7956756756756,25.6037642444872,39.69454417640964,2.1966346011543583,96.20469587094864,91.75,High,3
46,JALOR,SAYLA,Jalore,92799.98,5723.45,6.17,380.05270270270273,27.194646292733463,38.75282299837206,2.611423708746485,98.911838833802,100.99,High,3
47,JHALAWAR,KHANPUR,Jhalawar,90107.69,5539.47,6.15,813.5959459459459,26.076238715406244,46.965430664496076,2.3277208820482462,96.86072517389374,124.61,High,3
48,HANUMANGARH,TIBI,Hanumangarh,72384.28,4195.85,5.8,353.51594594594593,26.801407429332542,34.6512187361255,1.9126098860441023,98.59077401213555,111.74,High,3
49,PRATAPGARH,DHARIYAWAD,Pratapgarh,86082.34,4945.56,5.75,798.6110810810811,25.465990824330326,48.12437990232352,2.570048098268462,95.89152064525678,85.95,High,3
50,CHITTAURGARH,RAWATBHATA,Chittorgarh,155485.79,8823.75,5.67,620.785945945946,25.40794805387006,43.12609812046766,2.2889447979872726,95.49536480686696,115.13,High,3
51,SAWAI MADHOPUR,SAWAI MADHOPUR,Sawai Madhopur,106144.06,5904.78,5.56,657.1018918918919,26.266208376498444,43.32932440432145,2.0382373834541956,97.72097010507622,120.36,High,3
52,DUNGARPUR,GALIACOT,Dungarpur,18887.9,1036.85,5.49,689.9789189189189,26.019670711854374,45.51344457599526,2.4742333875980465,96.79770164274085,141.17,High,3
53,JODHPUR,LUNI,Jodhpur,162501.34,8912.37,5.48,374.85945945945946,26.819590054758027,38.60241453307681,2.51475284889744,98.35846307532928,112.76,High,3
54,PALI,DESURI,Pali,80315.77,4296.06,5.35,374.85945945945946,26.819590054758027,38.60241453307681,2.51475284889744,98.35846307532928,112.76,High,3
55,PALI,SUMERPUR,Pali,93359.99,4888.25,5.24,374.85945945945946,26.819590054758027,38.60241453307681,2.51475284889744,98.35846307532928,112.76,High,3
56,PALI,BALI,Pali,135753.22,7097.72,5.23,374.85945945945946,26.819590054758027,38.60241453307681,2.51475284889744,98.35846307532928,112.76,High,3
57,PALI,JAITARAN,Pali,132705.89,6809.72,5.13,374.85945945945946,26.819590054758027,38.60241453307681,2.51475284889744,98.35846307532928,112.76,High,3
58,JAIPUR,MOZAMABAD,Jaipur,62189.98,3144.78,5.06,518.7956756756756,25.6037642444872,39.69454417640964,2.1966346011543583,96.20469587094864,91.75,High,3
59,BHARATPUR,RUPWAS,Bharatpur,54031.05,2701.15,5.0,595.6143243243243,26.49604706230576,41.71643554832026,1.9797232499630013,98.48568077549209,91.83,High,3
60,JHALAWAR,AKLERA,Jhalawar,76534.46,3792.23,4.95,813.5959459459459,26.076238715406244,46.965430664496076,2.3277208820482462,96.86072517389374,124.61,High,3
61,BARAN,CHHIPA BAROD,Baran,81746.78,3997.33,4.89,768.6575675675676,26.3377785999704,45.30979354743229,2.1596862512949535,97.48938878200386,149.15,High,3
62,BANSWARA,GANORA,Banswara,24316.61,1174.63,4.83,804.4956756756757,26.424995560159836,47.919758028710966,2.5152626905431408,97.65177001627941,109.16,High,3
63,ALWAR,BAHROR,Alwar,33451.94,1609.74,4.81,580.7448648648649,26.243588130827288,40.61203344679592,2.0058235903507473,97.86954269646293,74.7,High,3
64,TONK,DUNI,Tonk,55529.62,2632.92,4.74,590.7735135135135,26.15527009027675,41.89283261802575,2.1241823294361404,97.29646070741452,108.85,High,3
65,AJMER,TANTOTI,Ajmer,15092.49,707.51,4.69,452.4610810810811,25.721801835133935,39.610815450643784,2.376531004883824,96.48216368210744,57.83,High,3
66,BARMER,SINDARI,Barmer,158110.47,7375.3,4.66,253.8108108108108,27.375766612401954,35.42336021903211,3.013074589314785,98.39305682995412,111.72,High,3
67,JAIPUR,RENWAL,Jaipur,56596.31,2616.18,4.62,518.7956756756756,25.6037642444872,39.69454417640964,2.1966346011543583,96.20469587094864,91.75,High,3
68,SIROHI,SHEOGANJ,Sirohi,85044.15,3807.27,4.48,544.7386486486487,25.8332847417493,42.15494154210448,2.3447817078585174,96.33695130975285,115.0,High,3
69,AJMER,KEKRI,Ajmer,64879.69,2878.44,4.44,452.4610810810811,25.721801835133935,39.610815450643784,2.376531004883824,96.48216368210744,57.83,High,3
70,BHILWARA,BHILWARA,Bhilwara,69286.19,3035.88,4.38,545.8694594594594,25.29591312712742,41.955148734645554,2.3331907651324553,95.44139188989196,102.64,High,3
71,JHALAWAR,MANOHARTHANA,Jhalawar,61229.13,2609.6,4.26,813.5959459459459,26.076238715406244,46.965430664496076,2.3277208820482462,96.86072517389374,124.61,High,3
72,BARAN,KISHANGANJ,Baran,137211.0,5762.72,4.2,768.6575675675676,26.3377785999704,45.30979354743229,2.1596862512949535,97.48938878200386,149.15,High,3
73,AJMER,SARWAR,Ajmer,85124.24,3520.53,4.14,452.4610810810811,25.721801835133935,39.610815450643784,2.376531004883824,96.48216368210744,57.83,High,3
74,AJMER,RUPANGARH,Ajmer,57221.96,2347.26,4.1,452.4610810810811,25.721801835133935,39.610815450643784,2.376531004883824,96.48216368210744,57.83,High,3
75,BHILWARA,PHULIYA KALAN,Bhilwara,42369.13,1734.73,4.09,545.8694594594594,25.29591312712742,41.955148734645554,2.3331907651324553,95.44139188989196,102.64,High,3
76,JHALAWAR,PIDDAWA,Jhalawar,99845.16,3651.34,3.66,813.5959459459459,26.076238715406244,46.965430664496076,2.3277208820482462,96.86072517389374,124.61,High,3
77,NAGAUR,RIYANBADDI,Nagaur,110271.49,3999.8,3.63,360.54675675675674,26.284999260026638,36.80900547580287,2.466680479502738,97.18718514133492,59.75,High,3
78,BANSWARA,AMBAPURA,Banswara,22039.47,791.34,3.59,804.4956756756757,26.424995560159836,47.919758028710966,2.5152626905431408,97.65177001627941,109.16,High,3
79,CHITTAURGARH,CHITTAURGARH,Chittorgarh,94911.69,3269.32,3.44,620.785945945946,25.40794805387006,43.12609812046766,2.2889447979872726,95.49536480686696,115.13,High,3
80,UDAIPUR,SEMARI,Udaipur,26825.39,917.43,3.42,632.7145945945946,24.870162054166048,44.80153544472399,2.4070075477282815,94.62045212372355,140.94,High,3
81,JAIPUR,JAIPUR,Jaipur,50861.46,1718.33,3.38,518.7956756756756,25.6037642444872,39.69454417640964,2.1966346011543583,96.20469587094864,91.75,High,3
82,DUNGARPUR,CHIKHLI,Dungarpur,24292.84,807.69,3.32,689.9789189189189,26.019670711854374,45.51344457599526,2.4742333875980465,96.79770164274085,141.17,Moderate,2
83,JALOR,AHORE,Jalore,181544.87,5946.89,3.28,380.05270270270273,27.194646292733463,38.75282299837206,2.611423708746485,98.911838833802,100.99,Moderate,2
84,SIROHI,SIROHI,Sirohi,112944.24,3583.59,3.17,544.7386486486487,25.8332847417493,42.15494154210448,2.3447817078585174,96.33695130975285,115.0,Moderate,2
85,JALOR,RANIWARA,Jalore,97405.4,3074.38,3.16,380.05270270270273,27.194646292733463,38.75282299837206,2.611423708746485,98.911838833802,100.99,Moderate,2
86,JHALAWAR,GANGDHAR,Jhalawar,89406.72,2777.72,3.11,813.5959459459459,26.076238715406244,46.965430664496076,2.3277208820482462,96.86072517389374,124.61,Moderate,2
87,BANSWARA,ANANDPURI,Banswara,32259.17,979.74,3.04,804.4956756756757,26.424995560159836,47.919758028710966,2.5152626905431408,97.65177001627941,109.16,Moderate,2
88,DHAULPUR,BARI,Dholpur,77006.81,2330.47,3.03,674.1978378378378,26.60415865028859,43.33111883972177,1.9932810418824922,98.70990602338316,116.87,Moderate,2
89,UDAIPUR,SALUMBER,Udaipur,94202.57,2857.14,3.03,632.7145945945946,24.870162054166048,44.80153544472399,2.4070075477282815,94.62045212372355,140.94,Moderate,2
90,TONK,NIWAI,Tonk,98772.56,2969.8,3.01,590.7735135135135,26.15527009027675,41.89283261802575,2.1241823294361404,97.29646070741452,108.85,Moderate,2
91,DUNGARPUR,ASPUR,Dungarpur,33568.9,973.14,2.9,689.9789189189189,26.019670711854374,45.51344457599526,2.4742333875980465,96.79770164274085,141.17,Moderate,2
92,DHAULPUR,SARMATHURA,Dholpur,62830.9,1801.89,2.87,674.1978378378378,26.60415865028859,43.33111883972177,1.9932810418824922,98.70990602338316,116.87,Moderate,2
93,PALI,RAIPUR,Pali,105782.62,2796.96,2.64,374.85945945945946,26.819590054758027,38.60241453307681,2.51475284889744,98.35846307532928,112.76,Moderate,2
94,BANSWARA,GARHI,Banswara,68512.25,1777.06,2.59,804.4956756756757,26.424995560159836,47.919758028710966,2.5152626905431408,97.65177001627941,109.16,Moderate,2
95,BHILWARA,ASIND,Bhilwara,72269.87,1799.48,2.49,545.8694594594594,25.29591312712742,41.955148734645554,2.3331907651324553,95.44139188989196,102.64,Moderate,2
96,UDAIPUR,SARARA,Udaipur,77835.11,1922.17,2.47,632.7145945945946,24.870162054166048,44.80153544472399,2.4070075477282815,94.62045212372355,140.94,Moderate,2
97,SAWAI MADHOPUR,BAUNLI,Sawai Madhopur,60301.58,1475.29,2.45,657.1018918918919,26.266208376498444,43.32932440432145,2.0382373834541956,97.72097010507622,120.36,Moderate,2
98,AJMER,PEESANGAN,Ajmer,63018.8,1510.48,2.4,452.4610810810811,25.721801835133935,39.610815450643784,2.376531004883824,96.48216368210744,57.83,Moderate,2
99,BANSWARA,GHATOL,Banswara,49884.09,1080.12,2.17,804.4956756756757,26.424995560159836,47.919758028710966,2.5152626905431408,97.65177001627941,109.16,Moderate,2
100,BHILWARA,MANDAL,Bhilwara,62713.21,1322.04,2.11,545.8694594594594,25.29591312712742,41.955148734645554,2.3331907651324553,95.44139188989196,102.64,Moderate,2
101,RAJ SAMAND,RAJ SAMAND,Rajsamand,58700.55,1238.51,2.11,555.5416216216216,24.48280301909131,43.585483202604706,2.3778148586650882,94.02157688323221,118.04,Moderate,2
102,TONK,MALPURA,Tonk,143488.46,3010.45,2.1,590.7735135135135,26.15527009027675,41.89283261802575,2.1241823294361404,97.29646070741452,108.85,Moderate,2
103,BARMER,PACHPADRA,Barmer,335228.84,7020.33,2.09,253.8108108108108,27.375766612401954,35.42336021903211,3.013074589314785,98.39305682995412,111.72,Moderate,2
104,TONK,UNIARA,Tonk,95169.54,1898.38,1.99,590.7735135135135,26.15527009027675,41.89283261802575,2.1241823294361404,97.29646070741452,108.85,Moderate,2
105,DUNGARPUR,SAGWARA,Dungarpur,59680.35,1153.16,1.93,689.9789189189189,26.019670711854374,45.51344457599526,2.4742333875980465,96.79770164274085,141.17,Moderate,2
106,AJMER,ARAIN,Ajmer,53650.21,1009.14,1.88,452.4610810810811,25.721801835133935,39.610815450643784,2.376531004883824,96.48216368210744,57.83,Moderate,2
107,JAIPUR,PHULERA,Jaipur,93718.41,1754.35,1.87,518.7956756756756,25.6037642444872,39.69454417640964,2.1966346011543583,96.20469587094864,91.75,Moderate,2
108,JODHPUR,JODHPUR,Jodhpur,180538.72,3353.87,1.86,374.85945945945946,26.819590054758027,38.60241453307681,2.51475284889744,98.35846307532928,112.76,Moderate,2
109,ALWAR,THANAGAZI,Alwar,81938.7,1423.35,1.74,580.7448648648649,26.243588130827288,40.61203344679592,2.0058235903507473,97.86954269646293,74.7,Moderate,2
110,BHILWARA,BADNOR,Bhilwara,36790.34,621.35,1.69,545.8694594594594,25.29591312712742,41.955148734645554,2.3331907651324553,95.44139188989196,102.64,Moderate,2
111,BHILWARA,HURARA,Bhilwara,60183.4,1008.02,1.67,545.8694594594594,25.29591312712742,41.955148734645554,2.3331907651324553,95.44139188989196,102.64,Moderate,2
112,AJMER,BIJAYNAGAR,Ajmer,30119.18,497.73,1.65,452.4610810810811,25.721801835133935,39.610815450643784,2.376531004883824,96.48216368210744,57.83,Moderate,2
113,RAJ SAMAND,NATHDWARA,Rajsamand,50619.48,829.14,1.64,555.5416216216216,24.48280301909131,43.585483202604706,2.3778148586650882,94.02157688323221,118.04,Moderate,2
114,PRATAPGARH,PRATAPGARH,Pratapgarh,127166.04,1995.26,1.57,798.6110810810811,25.465990824330326,48.12437990232352,2.570048098268462,95.89152064525678,85.95,Moderate,2
115,JAIPUR,SANGANER,Jaipur,68380.03,971.67,1.42,518.7956756756756,25.6037642444872,39.69454417640964,2.1966346011543583,96.20469587094864,91.75,Moderate,2
116,JAIPUR,DUDU,Jaipur,66875.48,943.68,1.41,518.7956756756756,25.6037642444872,39.69454417640964,2.1966346011543583,96.20469587094864,91.75,Moderate,2
117,CHITTAURGARH,GANGRAR,Chittorgarh,53518.71,742.19,1.39,620.785945945946,25.40794805387006,43.12609812046766,2.2889447979872726,95.49536480686696,115.13,Moderate,2
118,AJMER,BHINAY,Ajmer,79171.7,1095.62,1.38,452.4610810810811,25.721801835133935,39.610815450643784,2.376531004883824,96.48216368210744,57.83,Moderate,2
119,CHITTAURGARH,KAPASAN,Chittorgarh,49286.46,677.57,1.37,620.785945945946,25.40794805387006,43.12609812046766,2.2889447979872726,95.49536480686696,115.13,Moderate,2
120,PRATAPGARH,PIPALKHUNT,Pratapgarh,81289.37,1049.82,1.29,798.6110810810811,25.465990824330326,48.12437990232352,2.570048098268462,95.89152064525678,85.95,Moderate,2
121,JAIPUR,AMER,Jaipur,85637.49,850.79,0.99,518.7956756756756,25.6037642444872,39.69454417640964,2.1966346011543583,96.20469587094864,91.75,Moderate,2
122,BARMER,SERWA,Barmer,252901.45,2420.59,0.96,253.8108108108108,27.375766612401954,35.42336021903211,3.013074589314785,98.39305682995412,111.72,Low,1
123,KARAULI,MANDRAIL,Karauli,55460.1,528.81,0.95,614.6102702702703,26.19934734349563,42.42385748113068,2.0424966701198755,97.60289107592126,72.72,Low,1
124,BANSWARA,GANGARTALAI,Banswara,20935.43,192.33,0.92,804.4956756756757,26.424995560159836,47.919758028710966,2.5152626905431408,97.65177001627941,109.16,Low,1
125,BANSWARA,BANSWARA,Banswara,50509.25,440.17,0.87,804.4956756756757,26.424995560159836,47.919758028710966,2.5152626905431408,97.65177001627941,109.16,Low,1
126,BHILWARA,KARERA,Bhilwara,54497.39,472.81,0.87,545.8694594594594,25.29591312712742,41.955148734645554,2.3331907651324553,95.44139188989196,102.64,Low,1
127,UDAIPUR,RISHABHDEV,Udaipur,45932.25,380.75,0.83,632.7145945945946,24.870162054166048,44.80153544472399,2.4070075477282815,94.62045212372355,140.94,Low,1
128,BHILWARA,SAHARA,Bhilwara,62435.74,513.1,0.82,545.8694594594594,25.29591312712742,41.955148734645554,2.3331907651324553,95.44139188989196,102.64,Low,1
129,BANSWARA,SAJJANGARH,Banswara,37563.05,291.48,0.78,804.4956756756757,26.424995560159836,47.919758028710966,2.5152626905431408,97.65177001627941,109.16,Low,1
130,KARAULI,SAPOTRA,Karauli,130676.76,1001.1,0.77,614.6102702702703,26.19934734349563,42.42385748113068,2.0424966701198755,97.60289107592126,72.72,Low,1
131,CHITTAURGARH,BEGUN,Chittorgarh,88416.72,643.04,0.73,620.785945945946,25.40794805387006,43.12609812046766,2.2889447979872726,95.49536480686696,115.13,Low,1
132,PRATAPGARH,ARNOD,Pratapgarh,63067.42,461.35,0.73,798.6110810810811,25.465990824330326,48.12437990232352,2.570048098268462,95.89152064525678,85.95,Low,1
133,BHARATPUR,BAYANA,Bharatpur,75032.66,494.37,0.66,595.6143243243243,26.49604706230576,41.71643554832026,1.9797232499630013,98.48568077549209,91.83,Low,1
134,UDAIPUR,KHERWARA,Udaipur,61205.26,392.42,0.64,632.7145945945946,24.870162054166048,44.80153544472399,2.4070075477282815,94.62045212372355,140.94,Low,1
135,DHAULPUR,SEPAU,Dholpur,29638.33,183.43,0.62,674.1978378378378,26.60415865028859,43.33111883972177,1.9932810418824922,98.70990602338316,116.87,Low,1
136,JAIPUR,CHAKSU,Jaipur,50040.17,308.34,0.62,518.7956756756756,25.6037642444872,39.69454417640964,2.1966346011543583,96.20469587094864,91.75,Low,1
137,RAJ SAMAND,DEVGARH,Rajsamand,56521.8,324.99,0.57,555.5416216216216,24.48280301909131,43.585483202604706,2.3778148586650882,94.02157688323221,118.04,Low,1
138,SIROHI,REVDAR,Sirohi,104422.26,550.86,0.53,544.7386486486487,25.8332847417493,42.15494154210448,2.3447817078585174,96.33695130975285,115.0,Low,1
139,BARAN,SHAHBAD,Baran,141492.11,634.02,0.45,768.6575675675676,26.3377785999704,45.30979354743229,2.1596862512949535,97.48938878200386,149.15,Low,1
140,DUNGARPUR,SIMALWARA,Dungarpur,39584.58,174.12,0.44,689.9789189189189,26.019670711854374,45.51344457599526,2.4742333875980465,96.79770164274085,141.17,Low,1
141,RAJ SAMAND,KHAMNOR,Rajsamand,25563.37,109.2,0.43,555.5416216216216,24.48280301909131,43.585483202604706,2.3778148586650882,94.02157688323221,118.04,Low,1
142,AJMER,AJMER,Ajmer,68932.23,269.92,0.39,452.4610810810811,25.721801835133935,39.610815450643784,2.376531004883824,96.48216368210744,57.83,Low,1
143,UDAIPUR,BARGAON,Udaipur,44121.17,164.14,0.37,632.7145945945946,24.870162054166048,44.80153544472399,2.4070075477282815,94.62045212372355,140.94,Low,1
144,BANSWARA,WAGIDORA,Banswara,28617.72,97.19,0.34,804.4956756756757,26.424995560159836,47.919758028710966,2.5152626905431408,97.65177001627941,109.16,Low,1
145,DUNGARPUR,DUNGARPUR,Dungarpur,77209.0,209.91,0.27,689.9789189189189,26.019670711854374,45.51344457599526,2.4742333875980465,96.79770164274085,141.17,Low,1
146,UDAIPUR,KOTRA,Udaipur,153704.4,390.39,0.25,632.7145945945946,24.870162054166048,44.80153544472399,2.4070075477282815,94.62045212372355,140.94,Low,1
147,AJMER,KISHANGARH,Ajmer,55463.44,134.35,0.24,452.4610810810811,25.721801835133935,39.610815450643784,2.376531004883824,96.48216368210744,57.83,Low,1
148,UDAIPUR,GIRWA,Udaipur,136212.49,331.94,0.24,632.7145945945946,24.870162054166048,44.80153544472399,2.4070075477282815,94.62045212372355,140.94,Low,1
149,BARMER,BAYTOO,Barmer,138324.76,275.66,0.2,253.8108108108108,27.375766612401954,35.42336021903211,3.013074589314785,98.39305682995412,111.72,Low,1
150,SIROHI,ABU ROAD,Sirohi,84443.18,165.8,0.2,544.7386486486487,25.8332847417493,42.15494154210448,2.3447817078585174,96.33695130975285,115.0,Low,1
151,DUNGARPUR,BICHHIWARA,Dungarpur,50309.28,92.02,0.18,689.9789189189189,26.019670711854374,45.51344457599526,2.4742333875980465,96.79770164274085,141.17,Low,1
152,BUNDI,BUNDI,Bundi,92855.34,142.69,0.15,655.7367567567567,26.286040402545506,42.79847269498298,2.1376091460707416,97.32347269498297,124.73,Low,1
153,RAJ SAMAND,BHIM,Rajsamand,64070.36,58.91,0.09,555.5416216216216,24.48280301909131,43.585483202604706,2.3778148586650882,94.02157688323221,118.04,Low,1
154,ALWAR,TIJARA,Alwar,66505.48,30.61,0.05,580.7448648648649,26.243588130827288,40.61203344679592,2.0058235903507473,97.86954269646293,74.7,Low,1
155,BHILWARA,BANERA,Bhilwara,63790.11,31.64,0.05,545.8694594594594,25.29591312712742,41.955148734645554,2.3331907651324553,95.44139188989196,102.64,Low,1
156,HANUMANGARH,SANGHRIYA,Hanumangarh,63679.47,23.52,0.04,353.51594594594593,26.801407429332542,34.6512187361255,1.9126098860441023,98.59077401213555,111.74,Low,1
157,UDAIPUR,MAVLI,Udaipur,78806.45,34.46,0.04,632.7145945945946,24.870162054166048,44.80153544472399,2.4070075477282815,94.62045212372355,140.94,Low,1
158,BANSWARA,KUSHALGARH,Banswara,62457.66,4.05,0.01,804.4956756756757,26.424995560159836,47.919758028710966,2.5152626905431408,97.65177001627941,109.16,Low,1
159,UDAIPUR,VALLABHNAGAR,Udaipur,103887.34,14.24,0.01,632.7145945945946,24.870162054166048,44.80153544472399,2.4070075477282815,94.62045212372355,140.94,Low,1
